Country,Distribution,Total
Nigeria,11.30%,24114000.00
Guinea,38.60%,5223000.00
Senegal,22.00%,3500000.00
Cameroon,9.60%,2611000.00
Niger,9.70%,2450000.00
Burkina Faso,9.70%,2144000.00
Benin,20.60%,1600752.00
Gambia,15.20%,401000.00
Guinea-Bissau,16.60%,342000.00
Sierra Leone,5.00%,320000.00
Mauritania,27.49%,1260000.00
Cameroon,11.00%,3300000.00
 Mali,16.00%,3000000.00
 Niger,7.60%,1600000.00
 Chad,1.80%,580000.00
 Sudan,5.00%,310000.00
 CAR,15.00%,250000.00
 Ghana,0.02%,4500.00
 South Sudan,0.02%,4000.00
 Ivory Coast,0.02%,3800.00
